tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
9,9,0,2,0,7,0,0,0,0,0,0
14,5,5,3,1,0,7,1,0,0,0,1
5,5,0,2,1,7,7,4,-1,-1,2,-1
5,5,0,2,1,7,0,0,1,1,1,1
8,0,0,1,1,7,7,1,1,1,1,1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
6,6,6,6,1,7,7,2,2,2,-1,-1
6,6,6,5,0,7,7,3,-1,-1,2,2
6,6,6,4,0,7,7,0,1,1,1,1
6,2,0,2,1,7,7,4,-1,-1,0,-1
6,2,0,2,1,7,0,2,1,1,-1,-1
2,0,0,1,0,7,7,3,-1,-1,2,1
10,2,2,4,1,0,7,2,2,2,-1,-1
10,2,2,3,0,7,7,3,-1,-1,2,1
10,2,0,2,0,7,7,1,1,1,1,2
2,0,0,1,0,7,7,2,2,2,-1,-1
16,0,0,1,1,7,7,1,0,0,0,0
2,2,0,2,1,0,7,0,2,1,2,1
16,4,4,3,1,7,7,1,0,0,0,0
4,4,0,2,1,7,7,0,1,1,1,1
1,1,1,4,1,0,7,0,2,1,2,1
1,1,0,2,1,7,7,0,1,1,1,1
17,4,2,4,1,0,7,2,2,1,-1,-1
17,2,1,3,0,7,7,3,-1,-1,1,2
17,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,2,2,2,-1,-1
24,0,0,1,1,7,7,1,0,0,0,0
48,0,0,1,1,7,7,1,0,0,0,0
4,2,2,5,1,0,7,0,1,1,2,2
2,2,2,3,0,7,7,3,-1,-1,1,2
2,2,0,2,0,7,7,0,1,1,1,1
20,2,2,7,1,0,7,0,1,1,1,1
20,2,2,5,1,7,7,2,2,2,-1,-1
20,2,2,4,0,7,7,3,-1,-1,2,2
20,2,2,3,0,7,7,2,2,2,-1,-1
20,2,0,2,0,7,7,1,0,0,0,0
2,0,0,1,1,7,7,2,2,2,-1,-1
24,0,0,1,1,7,7,1,0,0,0,0
48,0,0,1,1,7,7,1,0,0,0,0
16,16,0,2,1,7,7,0,0,0,0,0
22,10,6,6,1,7,7,0,1,1,1,0
22,10,3,4,0,7,7,4,0,-1,-1,-1
22,10,3,4,0,0,7,3,-1,-1,1,1
22,10,3,3,0,0,7,2,1,1,-1,-1
22,10,0,2,0,7,7,1,0,0,0,0
10,0,0,1,1,7,7,1,1,0,1,1
36,2,2,7,1,7,7,2,2,2,-1,-1
36,2,2,6,0,7,7,3,-1,-1,2,2
36,2,2,5,0,7,7,2,2,2,-1,-1
36,2,2,4,0,7,7,3,-1,-1,2,2
36,2,2,3,0,7,7,2,2,2,-1,-1
36,2,0,2,0,7,7,1,0,0,0,0
2,0,0,1,1,7,7,2,2,2,-1,-1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
43,3,3,8,1,7,7,2,1,1,-1,-1
43,3,3,7,0,7,7,3,-1,-1,1,1
43,3,3,6,1,7,7,2,1,1,-1,-1
43,3,3,5,0,7,7,3,-1,-1,1,1
43,3,3,4,1,7,7,2,2,1,-1,-1
43,3,3,3,0,7,7,3,-1,-1,1,1
43,3,0,2,0,7,7,2,1,1,-1,-1
43,0,0,1,0,7,7,1,0,0,0,0
4,1,1,5,1,7,7,0,1,1,1,1
1,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
7,4,2,5,1,7,7,0,1,1,1,1
7,2,1,3,1,7,7,2,2,2,-1,-1
7,1,0,2,0,7,7,1,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
9,1,1,8,1,0,1,0,2,1,2,1
9,1,1,6,1,7,7,0,1,1,1,1
9,1,1,4,1,7,7,2,2,2,-1,-1
9,1,1,3,0,7,7,3,-1,-1,2,2
9,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
7,3,2,7,1,7,7,0,1,1,1,1
7,1,1,5,1,7,7,0,1,1,1,1
7,1,1,3,1,7,7,2,2,2,-1,-1
7,1,0,2,0,7,7,1,1,1,1,1
